exp,peers,nlr,failures,numStraggler,numPrivCnt,UseSig,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size,bandwidth-total,batch-size-10pctile-trunc,batch-size-90pctile-trunc,batch-size-avg-trunc,client-slack-1pctile-raw,client-slack-1pctile-trunc,client-slack-avg-raw,client-slack-avg-trunc,client-slack-stdev-raw,client-slack-stdev-trunc,commit-rate-raw,commit-rate-trunc,cpu-total,duration-raw,duration-trunc,epochs-avg,epochs-max,epochs-min,latency-95pctile-raw,latency-95pctile-raw-nowm,latency-95pctile-shortened-raw,latency-95pctile-trunc,latency-95pctile-trunc-nowm,latency-avg-raw,latency-avg-raw-nowm,latency-avg-shortened-raw,latency-avg-trunc,latency-avg-trunc-nowm,latency-stdev-raw,latency-stdev-raw-nowm,latency-stdev-trunc,latency-stdev-trunc-nowm,msg-batch-avg-trunc,nreq-raw,nreq-trunc,propose-rate-raw,propose-rate-trunc,throughput-raw,throughput-trunc,viewchanges-avg,viewchanges-total
0000,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,Pbft,1,1,1,32,Simple,128,128,500,8,1,64,16,true,false,131072000,256,256,false,10240,4194304,external,32,8192,2625657.285714286,32,128,56.107142857142854,-73304,-73304,257.6569200779727,-2270.696132596685,13903.756422896033,21606.841469040843,48.596148234579395,36.763079673942244,405.26785714285717,20.609784,5.713634,2.0,2,2,10553.899,5704.524,10553.899,8920.243,5907.411,4919.914442495126,3295.2582046783627,4919.914442495126,4670.835896103897,2574.504850649351,2712.903329620262,2018.0409539825848,2113.2942605592502,2156.506595767671,1.0833333333333333,513,154,5.396786868743783,4.43010496817286,248.9109056164781,269.5307399808948,0.0,0
0001,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,Pbft,1,1,1,32,Simple,128,128,500,8,1,64,16,true,false,131072000,512,512,false,20480,4194304,external,32,8192,4696353.5,64,128,89.93333333333334,-90386,-69958,-3108.579512195122,-4859.7548746518105,15449.278162931576,20149.821840460903,50.029097420731546,31.760787520942266,579.6964285714286,25.525518,6.051924,2.0,2,2,13894.014,7598.195,13894.014,11357.899,7824.37,6878.333233170732,3698.3629414634147,6878.333233170732,4774.292356589147,2843.5998720930234,3739.4683837738457,2642.1863673325565,2650.6263822483834,2302.6808931686937,1.25,1025,258,5.367262109852408,4.578728023250171,401.5589419184363,426.3107071404069,0.0,0
0002,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,Pbft,1,1,1,32,Simple,128,128,500,8,1,64,16,true,false,131072000,1024,1024,false,40960,4194304,external,32,8192,7059705.0,75,128,104.23684210526316,-2428103,-2142073,-1060632.2593383137,-1344868.079395085,757442.335554131,465296.49586769444,49.562501381469524,34.59034143463662,865.7857142857143,36.659006,6.820531,3.0,3,3,21033.096,16445.744,21033.096,10638.761,10638.49,11025.111262006403,7216.692700640341,11025.111262006403,5034.044443502825,3790.099231638418,6997.188047193183,5022.795816005608,1737.078534751979,2519.710265015017,1.5833333333333333,1874,354,5.3820909535379915,5.97517534781024,511.1977122347507,519.0211729849186,0.0,0
0003,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,Pbft,1,1,1,32,Simple,128,128,500,8,1,64,16,true,false,131072000,1500,1500,false,60000,4194304,external,32,8192,6141162.142857143,55,128,93.5,-6392503,-6162546,-4093186.4705294706,-5368743.068739771,2218264.451907902,682568.1263937335,44.314546040789146,27.599464570387337,830.6785714285714,36.394553,5.628384,3.0,3,3,19591.188,11807.695,19591.188,12716.112,10858.699,11391.562076923075,6541.799963536464,11391.562076923075,6030.930766323025,4253.64393814433,5426.911460062525,3367.6405241068796,2722.9525530958604,2845.285141421866,1.0833333333333333,2002,291,5.026176041968179,3.314931445710916,550.0823158894135,517.0222927220318,0.0,0
0004,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,Pbft,1,1,1,32,Simple,128,128,500,8,1,64,16,true,false,131072000,2000,2000,false,80000,4194304,external,32,8192,8440733.142857144,100,128,119.25,-7152358,-6009638,-4100879.7665338647,-5014369.988193625,2138427.6409130115,682313.5637295558,41.85879883821701,23.05970065474379,820.4107142857143,41.679964,6.054968,4.0,4,4,22106.49,16008.785,22106.49,12786.278,10718.185,12840.541330278884,7590.0220501992035,12840.541330278884,5237.506065963061,4132.024089709763,6405.974090282812,4497.090884278722,2663.077844915193,3026.8601096868874,1.0,2510,379,5.258793086483055,3.0498623520873944,602.2078138071329,625.9322922928742,0.0,0
0005,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,32,Simple,128,128,500,8,1,64,16,true,false,131072000,256,256,false,10240,4194304,external,32,8192,None,,,None,-15724,,1851.2534113060428,None,4575.0961322414905,None,14.22367964652863,None,None,46.311816,None,1.0,1,1,39925.865,39925.333,39925.865,,,21464.464662768034,14990.287465886939,21464.464662768034,None,None,9257.137593559073,12340.394573013962,None,None,None,513,0,3.4304660775653657,None,110.7708667697246,None,0.0,0
0006,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,32,Simple,128,128,500,8,1,64,16,true,false,131072000,512,512,false,20480,4194304,external,32,8192,None,,,None,-45106,,-484.5494613124388,None,7408.678245930097,None,8.72763897074081,None,None,91.498622,None,1.0,1,1,82803.213,80596.99,82803.213,,,35578.69485504407,27788.296998041133,35578.69485504407,None,None,24117.36180955533,26601.02911070695,None,None,None,1021,0,2.1257663847502792,None,111.58637995662929,None,0.0,0
0007,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,32,Simple,128,128,500,8,1,64,16,true,false,131072000,1024,1024,false,40960,4194304,external,32,8192,None,,,None,-174320,,-19414.02,None,38345.55400907196,None,6.738343875300398,None,None,192.631269,None,2.0,2,2,163247.323,155423.545,163247.323,,,66638.91679560975,53025.24334,66638.91679560975,None,None,51518.7449348526,53840.878554776435,None,None,None,2050,0,1.7197778146678995,None,106.42093626035346,None,0.0,0
0008,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,32,Simple,128,128,500,8,1,64,16,true,false,131072000,1500,1500,false,60000,4194304,external,32,8192,None,,,None,-619727,,-183976.88078291816,None,152106.2647716836,None,5.270666856562212,None,None,263.072658,None,2.0,2,2,239242.055,231642.218,239242.055,,,95436.17524128113,84286.39891601424,95436.17524128113,None,None,73001.76511508934,75427.50492009617,None,None,None,2810,0,1.3426400762170132,None,106.81459720530896,None,0.0,0
0009,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,32,Simple,128,128,500,8,1,64,16,true,false,131072000,2000,2000,false,80000,4194304,external,32,8192,None,,,None,-5968264,,-3544204.896526238,None,1788607.5049055445,None,5.430028774296381,None,None,253.199973,None,2.0,2,2,229096.972,225100.115,229096.972,,,90684.13089320029,80737.35253436807,90684.13089320029,None,None,70131.03352898477,72961.59894672186,None,None,None,2706,0,1.383188461052516,None,106.87204931100052,None,0.0,0
0010,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,Pbft,1,1,1,32,Simple,128,512,500,8,1,64,16,true,false,131072000,256,256,false,10240,4194304,external,32,8192,2373158.3571428573,32,37,40.76470588235294,-115230,-115230,-478.46198830409355,-5278.033333333334,18825.169343606092,30846.329466617717,38.70569542357196,38.5215151747514,420.0,21.077701,5.985023,1.0,1,1,8169.359,5396.218,8169.359,5326.32,5324.303,3675.063888888889,3089.5360877192984,3675.063888888889,3162.414968871595,3161.869101167315,2082.555086823098,1753.579342133632,1342.3141288391482,1342.0746921256427,1.0833333333333333,513,257,5.163594225344493,6.69934370076475,243.38517753904944,429.40520028076753,0.0,0
0011,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,Pbft,1,1,1,32,Simple,128,512,500,8,1,64,16,true,false,131072000,512,512,false,20480,4194304,external,32,8192,5160506.285714285,64,233,97.29411764705883,-429690,-278251,-24339.539512195122,-22956.444444444445,79772.36530428864,68040.56885389706,42.9960100795765,36.72609926916543,690.1607142857143,21.673912,6.624454,2.0,2,2,7099.111,5757.928,7099.111,7068.499,6298.918,4390.219273170732,3227.889548292683,4390.219273170732,4640.357233890215,2915.8268878281624,1514.8432166350779,1870.4624760487293,1297.1272401097174,1960.8829127462866,1.0,1025,419,5.207799010423501,5.249624265863207,472.918779037213,632.504958144475,0.0,0
0012,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,Pbft,1,1,1,32,Simple,128,512,500,8,1,64,16,true,false,131072000,1024,1024,false,40960,4194304,external,32,8192,6447126.5,67,195,131.7058823529412,-3452028,-2537523,-1335122.3889855072,-1469457.4644549764,1265944.673870772,709909.517688002,49.97925306397778,33.273764052966285,849.0714285714286,21.351738,6.196837,2.0,2,2,11936.662,8454.518,11936.662,9766.271,9765.997,6390.475571594203,4559.31512115942,6390.475571594203,5880.202133928572,5124.006691964286,2738.122112499679,2362.786976293085,1867.0410439984146,2792.4512039665374,1.4166666666666667,1725,448,5.576226544018814,5.416018735601753,807.8967623150864,722.9494659936997,0.0,0
0013,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,Pbft,1,1,1,32,Simple,128,512,500,8,1,64,16,true,false,131072000,1500,1500,false,60000,4194304,external,32,8192,9496434.076923076,68,512,212.21428571428572,-5149533,-3621890,-2539242.6511419616,-3049572.016925247,1764932.0200634082,354918.3511047141,49.15597454518338,22.579890474986815,841.6153846153846,23.178799,6.351143,2.0,2,2,12751.65,8642.591,12751.65,8995.505,8995.273,7352.949981639051,4975.525096730856,7352.949981639051,5399.024957040572,4683.636663484487,2906.053041489066,2474.2094457846133,1946.6886238716456,2674.52093897512,1.0833333333333333,2233,419,5.3671746874271555,4.572912061431194,963.3803718648236,659.7237694065462,0.0,0
0014,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,Pbft,1,1,1,32,Simple,128,512,500,8,1,64,16,true,false,131072000,2000,2000,false,80000,4194304,external,32,8192,7088163.857142857,75,512,174.5185185185185,-10110494,-7497448,-4180032.1524201855,-5639110.0436590435,3604040.9417514214,1203214.4897196845,49.790563994611595,32.65657618779225,860.2678571428571,23.16063,5.971244,3.0,3,3,14243.053,9395.25,14243.053,10277.283,10276.9,7721.301926364573,5176.181219876416,7721.301926364573,6347.92886,5647.9292225,3360.5362974069867,2593.5086064862835,2151.3159324994017,3023.0161294173754,1.3333333333333333,1942,400,5.48097203528075,4.235762543151831,838.4918717668734,669.8771646243229,0.0,0
0015,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,32,Simple,128,512,500,8,1,64,16,true,false,131072000,256,256,false,10240,4194304,external,32,8192,None,,,None,-5499,,2223.947265625,None,2130.5061357512955,None,22.474510201115542,None,None,21.51459,None,1.0,1,1,20138.771,18186.233,20138.771,,,13411.139828125,7650.627439453125,13411.139828125,None,None,4444.60244061353,7570.111007567606,None,None,None,512,0,5.349822237162274,None,237.97804187762816,None,0.0,0
0016,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,32,Simple,128,512,500,8,1,64,16,true,false,131072000,512,512,false,20480,4194304,external,32,8192,None,,,None,-19097,,50.945205479452056,None,4831.7383255666655,None,19.895488211616474,None,None,26.607077,None,1.0,1,1,21535.856,20052.524,21535.856,,,16403.564454990217,8784.771736790606,16403.564454990217,None,None,3163.641515915878,7398.465191116083,None,None,None,1022,0,4.754206767286481,None,384.1083332829082,None,0.0,0
0017,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,32,Simple,128,512,500,8,1,64,16,true,false,131072000,1024,1024,false,40960,4194304,external,32,8192,None,,,None,-182706,,-4818.024281466799,None,28626.672647801523,None,15.057642209242207,None,None,42.444424,None,1.0,1,1,39820.476,34559.677,39820.476,,,25139.802369672943,14763.564291873143,25139.802369672943,None,None,7188.442556433118,10559.910665209281,None,None,None,2018,0,3.628498121948515,None,475.44525518829045,None,0.0,0
0018,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,32,Simple,128,512,500,8,1,64,16,true,false,131072000,1500,1500,false,60000,4194304,external,32,8192,None,,,None,-223127,,-18893.9931787176,None,39835.27338466245,None,10.867707854739903,None,None,67.422776,None,1.0,1,1,59999.058,55389.117,59999.058,,,32727.23063472033,21652.29682025921,32727.23063472033,None,None,13362.50258496981,16155.386380255193,None,None,None,2932,0,2.637664154659165,None,434.86788500076,None,0.0,0
0019,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,32,Simple,128,512,500,8,1,64,16,true,false,131072000,2000,2000,false,80000,4194304,external,32,8192,None,,,None,-8854495,,-3903816.028998641,None,2577381.3152508587,None,13.9057699982317,None,None,47.235677,None,1.0,1,1,44049.909,34781.154,44049.909,,,29415.89062165836,15294.18953375623,29415.89062165836,None,None,7031.230035074524,10274.53572421134,None,None,None,2207,0,3.3421540567391284,None,467.2315800618249,None,0.0,0
0020,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,Pbft,1,1,1,32,Simple,128,1024,500,8,1,64,16,true,false,131072000,256,256,false,10240,4194304,external,32,8192,2513167.3571428573,32,334,93.8,-164375,-110842,-3673.1988304093566,-5811.258064516129,28563.560250415914,33432.192074496365,41.36705527717726,27.169575509344636,469.94642857142856,20.78812,5.348845,2.0,2,2,8387.257,5632.164,8387.257,5490.524,5386.431,4001.529645224172,3020.907389863548,4001.529645224172,3342.8804773869347,2478.1919748743717,1998.8098341497928,1939.646666012824,1405.6563268543546,1835.1258626369563,1.0,513,199,4.642137611527356,2.202026539704667,246.77556219610045,372.04293637224487,0.0,0
0021,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,Pbft,1,1,1,32,Simple,128,1024,500,8,1,64,16,true,false,131072000,512,512,false,20480,4194304,external,32,8192,5108038.642857143,41,142,96.59375,-439519,-431701,-34681.25658536585,-50297.1875,95408.98502064392,118536.313551553,43.3293643829426,37.42480547823034,705.75,20.920697,6.67932,2.0,2,2,6493.174,5838.258,6493.174,6599.847,6320.793,4170.396096585366,3176.794117073171,4170.396096585366,4254.14170093458,3024.361329439252,1333.4811869427251,1834.23138793813,1218.794940152374,1930.7844146513894,1.0833333333333333,1025,428,5.7761269114620735,4.913953601221609,489.9454353743568,640.7837923620967,0.0,0
0022,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,Pbft,1,1,1,32,Simple,128,1024,500,8,1,64,16,true,false,131072000,1024,1024,false,40960,4194304,external,32,8192,7025478.692307692,70,180,128.13513513513513,-3703497,-2695761,-1355610.054366686,-1386534.5668202764,1258724.6933528136,798442.2538718004,41.39347763395304,37.55536830915706,812.3269230769231,21.460626,6.072057,2.0,2,2,8456.826,7146.715,8456.826,8505.969,8504.349,5164.119582417582,3895.7114331983807,5164.119582417582,5759.250681818182,4948.1648359683795,1510.2856993511355,1877.841924855003,1345.257772599282,2292.7989030761455,1.1666666666666667,1729,506,5.840577496599711,5.906377530862819,805.6614937513938,833.325510613619,0.0,0
0023,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,Pbft,1,1,1,32,Simple,128,1024,500,8,1,64,16,true,false,131072000,1500,1500,false,60000,4194304,external,32,8192,5615223.916666667,74,131,112.54838709677419,-7717320,-6853811,-3958282.696569921,-5059791.716112532,3110226.063194464,1254511.6076628722,41.43152695486401,34.246078692945986,789.3125,21.377514,6.183357,2.0,2,2,7543.04,7264.903,7543.04,8720.932,8719.611,5058.097965171504,4105.952233773087,5058.097965171504,5944.586175619835,5013.972632231405,1174.0125805510531,1969.9806490038866,1350.5477416768695,2594.8907169583276,1.0,1895,484,5.6496567342994854,5.43998416438158,886.4454491761765,782.7463301892483,0.0,0
0024,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,Pbft,1,1,1,32,Simple,128,1024,500,8,1,64,16,true,false,131072000,2000,2000,false,80000,4194304,external,32,8192,7431919.076923077,98,837,245.26315789473685,-9061448,-7696975,-4958166.687008784,-6113317.7281021895,3395859.4182478287,1012552.3822266517,44.92753928675424,22.923853196318362,815.4423076923077,22.663434,6.229583,2.0,2,2,7993.605,7092.481,7993.605,8429.532,8429.188,5671.352912159039,4438.13933148405,5671.352912159039,5757.26083044316,5028.295574181117,1315.7651924241356,2111.350372429997,1348.5673940475517,2348.678855759035,1.1666666666666667,2163,519,4.999553202579757,3.1712480630350646,954.4008202816925,833.1215749111939,0.0,0
0025,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,32,Simple,128,1024,500,8,1,64,16,true,false,131072000,256,256,false,10240,4194304,external,32,8192,None,,,None,-18712,,1760.9103313840155,None,3877.5719886418724,None,22.360977363690733,None,None,21.665756,None,1.0,1,1,20308.677,18340.81,20308.677,,,13876.741614035089,7375.922417153996,13876.741614035089,None,None,4207.811635050426,7432.999070962089,None,None,None,513,0,5.320314293630341,None,236.77918278042085,None,0.0,0
0026,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,32,Simple,128,1024,500,8,1,64,16,true,false,131072000,512,512,false,20480,4194304,external,32,8192,None,,,None,-5988,,441.78536585365856,None,2566.0459023618064,None,24.083279337729085,None,None,18.965673,None,1.0,1,1,20811.167,18604.374,20811.167,,,15624.032859512196,7861.815504390243,15624.032859512196,None,None,3383.75379598219,6940.9497022215,None,None,None,1025,0,5.71391890569496,None,540.4501068852131,None,0.0,0
0027,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,32,Simple,128,1024,500,8,1,64,16,true,false,131072000,1024,1024,false,40960,4194304,external,32,8192,None,,,None,-65568,,-3507.2634671890305,None,11421.445203138579,None,21.32466658624311,None,None,23.746327,None,1.0,1,1,23814.936,20350.7,23814.936,,,20842.110824681684,10877.657273261508,20842.110824681684,None,None,1651.5182609588603,6388.533138195788,None,None,None,2042,0,5.100386119813788,None,859.9224629560605,None,0.0,0
0028,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,32,Simple,128,1024,500,8,1,64,16,true,false,131072000,1500,1500,false,60000,4194304,external,32,8192,None,,,None,-656745,,-270918.79326599324,None,198802.68195062358,None,13.762600408641525,None,None,45.324358,None,1.0,1,1,46432.865,41663.191,46432.865,,,36411.54101447812,26691.445294612797,36411.54101447812,None,None,10120.442039152817,12494.426731267977,None,None,None,2970,0,3.324003475472603,None,655.2767939923165,None,0.0,0
0029,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,32,Simple,128,1024,500,8,1,64,16,true,false,131072000,2000,2000,false,80000,4194304,external,32,8192,None,,,None,-8519993,,-4606869.380515509,None,3120526.5437722895,None,20.992542260031094,None,None,25.060126,None,1.0,1,1,25392.622,21129.287,25392.622,,,22536.706918304935,12987.441095674967,22536.706918304935,None,None,1843.1193357115262,6211.892373598849,None,None,None,2289,0,4.968796298029938,None,913.4032286988502,None,0.0,0
